Nr;Mitglied;Geburtstag;Straße;PLZ;Ort;Kurs;Beitrag;Trainer;Telefon Trainer;Bezahlt
1;Anna Bauer;14.03.1998;Lindenweg 3;85221;Dachau;Yoga Montag;30 €;Frau Selb;0170 1112223;ja
2;Lukas Huber;02.11.2001;Amselstr. 12;85221;Dachau;Yoga Montag;30,00;Fr. Selb;0170 1112223;ja
3;Anna Bauer;14.03.1998;Lindenweg 3;85221;Dachau;Rückenfit Donnerstag;25 €;Herr Ott;0171 4445556;ja
4;Sofia Wagner;27.07.1995;Bergstr. 8;85221;Dachau;Yoga Montag;30 €;Frau Selb;0170 1112224;nein
5;Elias Schmid;19.01.2003;Amselstr 12;85221;Dachau;Volleyball Mittwoch;40 €;Herr Ott;0171 4445556;ja
6;Mia Fischer;05.05.1999;Rosenweg 21;85354;Freising;Volleyball Mittwoch;40 €;H. Ott;0171 4445556;ja
7;Anna Baur;14.03.1998;Lindenweg 3;85221;Dachau;Volleyball Mittwoch;40 €;Herr Ott;0171 4445556;ja
8;Noah Weber;30.09.2000;Feldgasse 2;85354;Freising;Yoga Montag;30 €;Frau Selb;0170 1112223;ja
9;Emma Meyer;11.02.1997;Bergstr. 8;85221;Dachau;Rückenfit Donnerstag;25 €;Herr Ott;0171 4445556;—
10;Jonas Koch;08.08.2002;Seeweg 5;85354;Freising;Yoga Montag;35 €;Frau Selb;0170 1112223;ja
11;Lina Richter;23.06.2004;Ahornstr. 17;85435;Erding;Volleyball Mittwoch;40 €;Herr Ott;0171 4445556;ja
12;Paul Klein;16.12.1996;Lindenweg 3;85221;Dachau;Rückenfit Donnerstag;25 €;Herr Ott;0171 4445556;ja
13;Clara Wolf;04.04.2005;Seeweg 5;85354;Freising;Yoga Montag;30 €;Frau Selb;0170 1112223;ja
14;Felix Neumann;21.10.1993;Ahornstr. 17;85435;Erding;Volleyball Mittwoch;;Herr Ott;0171 4445556;ja
15;Mia Fischer;05.05.1999;Rosenweg 21;85354;Freising;Rückenfit Donnerstag;25 €;Herr Ott;0171 4445555;ja
